LineItem,GrandParent,Parent
Music,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
"Landscape, Flowers & Candles",TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Office Supplies/Stationery,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Menus,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
IT Cost,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Equipment Rental,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Repairs - Building,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Repairs - Equipment,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Repairs - General,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Postage & Courier,TOTAL OTHER OPERATING EXPENSES,TOTAL OTHER OPERATING EXPENSES
Financial Costs - Other,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Payroll Processing Charges,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Credit Card Charges,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Bank Charges,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Donations,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Royalties,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Tangible Property Taxes,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Penalties,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
"Licenses, Permits & Filing Fees",TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Sales and Use Tax,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Late Payment Charges,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Stripe processing fee,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Insurance Expense - Other,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Liability Insurance,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Property Insurance,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Umbrella Insurance,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
EPLI Insurance,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COSTS
Occupancy Costs - Other,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Rent,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Percentage Rent,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Real Estate Escalation Tax,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Commercial Rent Tax,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Electricity,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Gas,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Water,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Storage Rent,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Security and Alarm,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
CAM Charges,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Uncategorized Expenses,TOTAL OCCUPANCY COST,TOTAL OCCUPANCY COST
Sales Adjustments - Other,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Chargebacks,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Extra/Short Receipts,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Under/Over,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Digital Sales - Adjustments,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Other Income - Other,Other Income,Other Income
Interest Income,Other Income,Other Income
Other Misc Income,Other Income,Other Income
Uncategorized Income,Other Income,Other Income
TOTAL BEVERAGES,TOTAL BEVERAGES,TOTAL BEVERAGES
Interest Expense,Other Expenses,Other Expenses
Interest Paid on Loans - 1,Other Expenses,Other Expenses
Interest Paid on Loans - 2,Other Expenses,Other Expenses
Interest on Tax/Penalties,Other Expenses,Other Expenses
Corporate Tax Expense,Total SALES ADJUSTMENTS,SALES ADJUSTMENTS
Depreciation Expense - Other,Other Expenses,Other Expenses
Leasehold,Other Expenses,Other Expenses
Kitchen/Hood,Other Expenses,Other Expenses
Machinery and Equipment,Other Expenses,Other Expenses
Furniture and Fixtures,Other Expenses,Other Expenses
Amortization Expense - Other,Other Expenses,Other Expenses
Fees,Other Expenses,Other Expenses
Intangible Assets,Other Expenses,Other Expenses
Start-Up Costs,Other Expenses,Other Expenses
Other Expenses,Other Expenses,Other Expenses
Other Expenses,Other Expenses,Other Expenses
Budgeted Revenue,REVENUE,REVENUE
Gross Profit - Liquor,Gross Profit - Liquor,Gross Profit - Liquor
Gross Profit - Beer,Gross Profit - Beer,Gross Profit - Beer
Gross Profit - Beer,Gross Profit - Beer,Gross Profit - Beer
Gross Profit - Other Bev,Gross Profit - Other Bev,Gross Profit - Other Bev
Budgeted Gross Profit,Budgeted Gross Profit,Budgeted Gross Profit
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Budgeted COGS,COST OF GOODS SOLD,COST OF GOODS SOLD
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
EBITDA,EBITDA,EBITDA
Budgeted FOH Cost,TOTAL STAFF COST,TOTAL FOH SALARIES
Revenue - Food,REVENUE,REVENUE
Revenue - Tea/Coffee,REVENUE,REVENUE
Revenue - Wines,REVENUE,REVENUE
Revenue - Liquor,REVENUE,REVENUE
Revenue - Beer,REVENUE,REVENUE
Revenue - Other Beverages,REVENUE,REVENUE
Revenue - Retails,REVENUE,REVENUE
Revenue Comps,REVENUE,REVENUE
Revenue - Others,REVENUE,REVENUE
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
P & L Amortization,P & L Depreciation & Amortization,P & L Amortization
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Budgeted BOH Cost,TOTAL STAFF COST,BOH SALARIES
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Tea/Coffee Purchases,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Cost of Sales - Retails,COST OF GOODS SOLD,COST OF GOODS SOLD
Total Beverages,Total Beverages,Total Beverages
PPP Payroll Expense,TOTAL STAFF COST,PPP Payroll Expense
FOH,TOTAL STAFF COST,TOTAL FOH SALARIES
Management,TOTAL STAFF COST,TOTAL FOH SALARIES
Admin,TOTAL STAFF COST,TOTAL FOH SALARIES
Wages - Bonus FOH,TOTAL STAFF COST,TOTAL FOH SALARIES
Management - William Abadie,TOTAL STAFF COST,TOTAL FOH SALARIES
Waiter,TOTAL STAFF COST,TOTAL FOH SALARIES
Busboy,TOTAL STAFF COST,TOTAL FOH SALARIES
Runner,TOTAL STAFF COST,TOTAL FOH SALARIES
Bar,TOTAL STAFF COST,TOTAL FOH SALARIES
Hostess,TOTAL STAFF COST,TOTAL FOH SALARIES
Wages F.O.H. Overtime,TOTAL STAFF COST,TOTAL FOH SALARIES
BOH,TOTAL STAFF COST,BOH SALARIES
Wages - Bonus BOH,TOTAL STAFF COST,BOH SALARIES
Kitchen,TOTAL STAFF COST,BOH SALARIES
Porter,TOTAL STAFF COST,BOH SALARIES
Polisher,TOTAL STAFF COST,BOH SALARIES
Wages B.O.H. Overtime,TOTAL STAFF COST,BOH SALARIES
Employer Taxes,TOTAL STAFF COST,Employer Taxes
Employer Taxes,TOTAL STAFF COST,Employer Taxes
Employer Taxes,TOTAL STAFF COST,Employer Taxes
Employer Taxes,TOTAL STAFF COST,Employer Taxes
Employer Taxes,TOTAL STAFF COST,Employer Taxes
Wages - 1099,TOTAL STAFF COST,Wages - 1099
Worker's Compensation Insurance,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Recruitment,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Training,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Uniforms,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Meals,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Welfare,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Accommodation/Relocation,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff First Aid,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Staff Insurance,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Disability,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
NY-PFL,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Advertising,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Public Relations,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Branding & Design,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
R & D,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Event Expenses,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Commission Expense,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Subscriptions,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Photography expense,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Complimentary Cost,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Marketing Expense,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Commission Expense,TOTAL SALES & MARKETING,TOTAL SALES & MARKETING
Airfare,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Meals & Entertainment,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Taxi/Travel Charges,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Auto Expense,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Web Design & Maintenance,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Clearing and Freight charges,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Telephone,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Chargebacks,Other Expenses,Other Expenses
Extra/Short Receipts,Other Expenses,Other Expenses
Under/Over,Other Expenses,Other Expenses
Digital Sales - Adjustments,Other Expenses,Other Expenses
Supplies and Maintenance - Other,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Linen & Laundry,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Cleaning Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Cleaning Contract Services,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Cleaning Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Cleaning Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Restaurant Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Restaurant Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Paper Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Packaging Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Chinaware,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Flatware,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Glassware,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Barware,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Music,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
"Landscape, Candles & Decor",TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Office Supplies/Stationery,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Menus,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
IT Cost,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Equipment Rental,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Repairs - Building,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Repairs - Equipment,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Repairs - General,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Postage & Courier,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Flowers Expense,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Tip Expense,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Computer Expense,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Maintenance Contract,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Petty - Cash,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Restaurant Supplies,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Legal Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Filing Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Tax Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Professional Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Accounting Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Consulting Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Management Fees,TOTAL PROFESSIONAL COST,TOTAL PROFESSIONAL COST
Payroll Processing Charges,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Credit Card Charges,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Bank Charges,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Donations,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Royalties,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Tangible Property Taxes,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Penalties,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
"Licenses, Permits & Filing Fees",TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Sales & Use Tax,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
License Fee to Tutto Holdings,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Insurance Expense,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Insurance Expense,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Insurance Expense,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Uncategorized Expenses,Other Expenses,Other Expenses
Occupancy Costs - Other,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Rent,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Real Estate Escalation Tax,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Commercial Rent Tax,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Electricity,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Gas,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Water,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Storage Rent,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Security and Alarm,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Gross Profit - Food,Gross Profit - Food,Gross Profit - Food
Other Income,Other Income,Other Income
Gross Profit - Wines,Gross Profit - Wines,Gross Profit - Wines
Interest on Loan,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Corporate Tax Expense,Other Expenses,Other Expenses
Other Expenses,Other Expenses,Other Expenses
Postage and Delivery,Other Expenses,Other Expenses
Insurance Expense,TOTAL OTHER FINANCIAL COSTS,TOTAL OTHER FINANCIAL COSTS
Prior Period Adjustment,Other Expenses,Other Expenses
Cleaning - Stock adjustment,Other Expenses,Other Expenses
P & L Depreciation,P & L Depreciation & Amortization,P & L Depreciation
Other Expenses,Other Expenses,Other Expenses
Landlord Maintenance,Other Expenses,Other Expenses
Ask My Accountant,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - Beverage,COST OF GOODS SOLD,Total Cost of Sales - Beverage
TOTAL COST OF GOODS SOLD - F&B,COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD - F&B
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Revenue In House - Other,REVENUE,Total Revenue In House
Revenue In House Food,REVENUE,Total Revenue In House
Revenue In House Soda BIB,REVENUE,Total Revenue In House
Revenue in House Soda Can,REVENUE,Total Revenue In House
Revenue In House Beer,REVENUE,Total Revenue In House
Revenue In House Ice Tea,REVENUE,Total Revenue In House
Revenue In House Wine,REVENUE,Total Revenue In House
Revenue In House Water,REVENUE,Total Revenue In House
Revenue in House Juice,REVENUE,Total Revenue In House
Revenue Delivery - Other,REVENUE,Total Revenue Delievery
Revenue Delivery Food,REVENUE,Total Revenue Delievery
Revenue Delivery Soda BIB,REVENUE,Total Revenue Delievery
Revenue Delivery Soda Can,REVENUE,Total Revenue Delievery
Revenue Delivery Beer,REVENUE,Total Revenue Delievery
Revenue Delivery Ice Tea,REVENUE,Total Revenue Delievery
Revenue Delivery Wine,REVENUE,Total Revenue Delievery
Revenue Delivery Water,REVENUE,Total Revenue Delievery
Revenue Delivery Juice,REVENUE,Total Revenue Delievery
Revenue - Retail,REVENUE,Revenue - Retail
Revenue - Delivery fee,REVENUE,Revenue - Delivery fee
Comps & Promos - Other,REVENUE,Total Comps & Promos
Comps & Promos (In House),REVENUE,Total Comps & Promos
Comps & Promos (Delivery),REVENUE,Total Comps & Promos
Sales Adjustment,REVENUE,Sales Adjustment
Licensing fees received,REVENUE,Licensing fees received
Management Fees Income,TOTAL INCOME,INCOME
Events,REVENUE,Events
TOTAL PRIME COST,TOTAL PRIME COST,TOTAL PRIME COST
TOTAL OPERATING EXPENSE,TOTAL OPERATING EXPENSE,TOTAL OPERATING EXPENSE
TOTAL STORE LEVEL EXPENSE,TOTAL STORE LEVEL EXPENSE,TOTAL STORE LEVEL EXPENSE
Food - Other,COST OF GOODS SOLD,Total Food
Food Purchases,COST OF GOODS SOLD,Total Food
Food - Stock Adjustment,COST OF GOODS SOLD,Total Food
Bakery - Other,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery Purchases,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Dairy - Other,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy Purchases,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Meat - Other,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat Purchases,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Meat
Mozzarella - Other,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella Purchases,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Produce - Other,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce Purchases,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Produce
Seafood - Other,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood Purchases,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Oils - Other,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils Purchases,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Oils
Sauces - Other,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces Purchases,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Cost of Sales - Food - Other,COST OF GOODS SOLD,Cost of Sales - Food - Other
TOTAL STORE LEVEL PROFIT,TOTAL STORE LEVEL PROFIT,TOTAL STORE LEVEL PROFIT
Cost of Sales - Wine - Other,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine Purchases,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Wine
Cost of Goods Sold - Beverage - Other,COST OF GOODS SOLD,Cost of Goods Sold - Beverage - Other
Cost of Sales - Beer - Other,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer Purchases,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Beer
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Cost of Sales - Ice Tea - Other,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea Purchases,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Cost of Sales - Soda - BIB - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
EBITDA,EBITDA,EBITDA
Cost of Sales - Soda - Cans - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Cost of Sales - Juice - Other,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice Purchases,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Juice
Cost of Sales - Water - Other,COST OF GOODS SOLD,Total Cost of Sales - Water
Water Purchases,COST OF GOODS SOLD,Total Cost of Sales - Water
Water - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Water
Cost of Sales - Events - Other,COST OF GOODS SOLD,Total Cost of Sales - Events
Event Items purchase,COST OF GOODS SOLD,Total Cost of Sales - Events
Cost of Sales - Retails - Other,COST OF GOODS SOLD,Cost of Sales - Retails - Other
Retail Purchases,COST OF GOODS SOLD,Retail Purchases
Retail - Stock Adjustment,COST OF GOODS SOLD,Retail - Stock Adjustment
Use Tax on Comps,G&A,Use Tax on Comps
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Labour - Other,STAFF COST,TOTAL OTHER STAFF COST
Wages - Other,STAFF COST,Wages - Other
Employment Benefits - Other,STAFF COST,Total Employer Benefits
Wages - F.O.H. Wages - Other,STAFF COST,Total Wages - F.O.H. Wages
Wages - B.O.H. Wages - Other,STAFF COST,Total Wages - B.O.H. Hourly
Wages - F.O.H. Management,STAFF COST,Wages - F.O.H. Management
Wages - B.O.H. Management,STAFF COST,Wages - B.O.H. Management
Wages - Agency,STAFF COST,TOTAL OTHER STAFF COST
Wages - 1099,STAFF COST,TOTAL OTHER STAFF COST
Cash - Wages,STAFF COST,TOTAL OTHER STAFF COST
Consulting fees,STAFF COST,TOTAL OTHER STAFF COST
Executive Fees,STAFF COST,TOTAL OTHER STAFF COST
Catering & Admin,STAFF COST,TOTAL OTHER STAFF COST
Assistant Manager,STAFF COST,Total Wages - F.O.H. Wages
Counter,STAFF COST,Total Wages - F.O.H. Wages
Delivery,STAFF COST,Total Wages - B.O.H. Hourly
General Manager,STAFF COST,Total Wages - F.O.H. Wages
Shift Leader,STAFF COST,Total Wages - F.O.H. Wages
Pizza,STAFF COST,Total Wages - B.O.H. Hourly
Oven,STAFF COST,Total Wages - B.O.H. Hourly
Prep,STAFF COST,Total Wages - B.O.H. Hourly
Operations,STAFF COST,Total Wages - F.O.H. Wages
Payroll Expense,STAFF COST,TOTAL OTHER STAFF COST
Dishwasher/Porter,STAFF COST,Total Wages - B.O.H. Hourly
Catering/Social Media,TOTAL OTHER EXPENSES,OTHER EXPENSES
Human Resource,STAFF COST,Total Wages - F.O.H. Wages
Server,STAFF COST,Total Wages - F.O.H. Wages
Supervisor,STAFF COST,Total Wages - F.O.H. Wages
Employer Taxes - Other,STAFF COST,Total Employer Taxes
Federal FUTA,STAFF COST,Total Employer Taxes
Medicare & Social Security,STAFF COST,Total Employer Taxes
Ny Re-employment,STAFF COST,Total Employer Taxes
Ny MTAI,STAFF COST,Total Employer Taxes
State SUI,STAFF COST,Total Employer Taxes
OASDI,STAFF COST,Total Employer Taxes
ERTC,STAFF COST,Total Employer Taxes
Staff Workman's Comp,STAFF COST,Total Employer Benefits
