LineItem,Parent,GrandParent
Deposit Againts Inkind,Other Charges - Other,TOTAL OTHER STAFF COST
Corporate Tax Payable,Income,TOTAL INCOME
Intercompany,Other Income & Expenses,TOTAL OTHER STAFF COST
Tip Top Holding,Total Wages - B.O.H. Salaried,STAFF COST
Tiptop 1 -Kpasa,Tips Paid,OTHER STAFF COST
Tiptop 4 - Smokey Buns,Other Charges - Other,OTHER STAFF COST
Tiptop 3 - Kizzy,Tips Paid,OTHER STAFF COST
Loans Payable,Other Expenses,Other Expenses
Loan 1,Interest & Other Expenses,TOTAL OTHER FINANCIAL COSTS
Loan 2,OTHER STAFF COST,OTHER STAFF COST
Deferred Liabilities,OTHER EXPENSES,TOTAL OTHER EXPENSES
Deposits for Future Events,Total Wages - B.O.H. Hourly,STAFF COST
Deposits for In kind,Uncategorized Income,TOTAL INCOME
Gift Certificates,Total Wages - B.O.H. Wages,STAFF COST
Long Term Debt,OTHER INCOME,OTHER INCOME
Retained Earnings / (Deficit),TOTAL OTHER STAFF COST,OTHER STAFF COST
Members Contributions,Total Employer Benefits,STAFF COST
Tora Matsuoka,Total Wages - F.O.H.,STAFF COST
3,TOTAL WAGES & WAGES - F.O.H.,OTHER STAFF COST
Members Equity,Total Employer Benefits,Total Employer Benefits
David hart,Total Wages - B.O.H. Salaried,OTHER STAFF COST
4,OTHER STAFF COST,OTHER STAFF COST
5,OTHER EMPLOYEE EXPENSES,OTHER STAFF COST
6,TOTAL STAFF COST,OTHER STAFF COST
Opening Balance Equity,Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried
Revenue,REVENUE,TOTAL INCOME
Revenue - Merchandise,REVENUE,TOTAL INCOME
Digital Sales - Adjustments,REVENUE,REVENUE
Retained Earnings,TOTAL INCOME,TOTAL INCOME
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Cost of sales - NA Beverage,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Cost of Sales - NA Beverages,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
NA Beverages Purchases,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
NA Beverages - Stock Adjustment,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Cost of Sales - Other Beverages,Total Cost of Sales - Beverages,COST OF GOODS SOLD
NA Beverages Purchase,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Liquor Purchases,COG Liquor,COST OF GOODS SOLD
Liquor - Stock Adjustment,Cost of Sales - Liquor,Cost of Sales - Liquor
Cost of Sales - Beer,COST OF GOODS SOLD,COST OF GOODS SOLD
Beer Purchases,Cost of Sales - Beer,Cost of Sales - Beer
Beer - Stock Adjustment,Cost of Sales - Beer,Cost of Sales - Beer
Cost of Sales - Sake,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Sake Purchases,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Sake - Stock Adjustment,Cost of Sales - Beverages,TOTAL COST OF GOODS SOLD
Cost of Sales - Retails,COST OF GOODS SOLD,COST OF GOODS SOLD
Retail Purchases,Total Cost of Sales - Retails,COST OF GOODS SOLD
Retail - Stock Adjustment,Total Cost of Sales - Retails,COST OF GOODS SOLD
Cost of Goods Sold,TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD
FOH,TOTAL STAFF COST,STAFF COST
Wages - F.O.H. Salaried,Wages - F.O.H. Salaried,STAFF COST
GM,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
Beverage Manager,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
Floor Manager,Total Wages - F.O.H. Salaried,Total Wages - F.O.H. Salaried
Assistant Manager,Total Wages - F.O.H. Wages,STAFF COST
Toast Support - GM,Total Wages - F.O.H. Wages,STAFF COST
Wages - F.O.H. Hourly,Wages - F.O.H. Hourly,STAFF COST
Server,Total Wages - F.O.H. Wages,STAFF COST
Busser,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Runner,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Bartender,Wages - F.O.H,STAFF COST
Barback,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Hostess,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Bathroom attendants,Total Wages - FOH,STAFF COST
Training,Total Employer Benefits,STAFF COST
Wages - F.O.H. Hourly - OT,Wages - F.O.H. Hourly - OT,STAFF COST
BOH,TOTAL STAFF COST,STAFF COST
Wages - B.O.H. Salaried,Wages - B.O.H. Salaried,STAFF COST
Executive Chef,Wages - B.O.H.,STAFF COST
Sous Chef,TOTAL STAFF COST,STAFF COST
Chef de Cuisine,Total Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried
Wages - B.O.H. Hourly,Wages - B.O.H. Hourly,STAFF COST
Cook,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Steward,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Receiving Clerk,Total Wages - B.O.H. Hourly,Total Wages - B.O.H. Hourly
Wages - B.O.H. Hourly - OT,Wages - B.O.H. Hourly - OT,STAFF COST
Employer Taxes,Employer Taxes,STAFF COST
State SUI,TOTAL STAFF COST,STAFF COST
Other Staff Costs,OTHER STAFF COST,OTHER STAFF COST
Employee Benefits,OTHER STAFF COST,OTHER STAFF COST
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
Dental,Total Employer Benefits,STAFF COST
Vision,Total Employer Benefits,STAFF COST
401K,OTHER STAFF COST,OTHER STAFF COST
Workers Compensation Insurance,INSURANCE EXPENSES,TOTAL EMPLOYEE BENEFITS
Bonus,Total Employer Benefits,STAFF COST
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Contract Labor,Total OTHER STAFF COST,Total OTHER STAFF COST
Wages - Agency,OTHER STAFF COST,OTHER STAFF COST
Wages - Security/Bouncer-1099,CONTRACT LABOR,CONTRACT LABOR
Other Employee Expenses,TOTAL EMPLOYEE BENEFITS,OTHER STAFF COST
Staff Uniforms,OTHER STAFF COST,OTHER STAFF COST
Advertising and Promotion,Advertising and Promotion,TOTAL SALES & MARKETING
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Travel and Entertainment,Travel and Entertainment,General & Admin Expen
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
General and Administrative Exps,GENERAL & ADMINISTRATIVE,GENERAL & ADMINISTRATIVE
Digital Sales - Adjustment,Other Expenses,Other Expenses
Supplies and Maintanance,TOTAL SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
BOH Supplies & Accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Professional Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Bookkeeping Fees,PROFESSIONAL FEES,PROFESSIONAL FEES
Other Financial Costs,OTHER FINANCIAL COSTS,Total OTHER STAFF COST
Credit Card Charges,FINANCIAL COST,FINANCIAL COST
Donations,FINANCIAL COST,FINANCIAL COST
Insurance Expense,FINANCIAL COST,FINANCIAL COST
Utilities,RESTAURANT UTILITIES,STAFF COST
Telephone,COMMUNICATION,COMMUNICATION
Occupancy Costs,OCCUPANCY,STAFF COST
Storage Rent,OCCUPANCY,OCCUPANCY
Sales Adjustments,REVENUE,REVENUE
Interest Expense,Other Expenses,Other Expenses
Depreciation Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Other Expenses,Other Expenses,Other Expenses
